match_id;tournament_id;team_a_id;team_b_id;winner_team_id;played_at;score_a;score_b
1;1;1;4;1;12/02/2025 18:00;2;0
2;1;9;10;9;14/02/2025 19:00;2;1
3;1;1;9;1;20/02/2025 20:00;2;1
4;2;3;7;3;08/04/2025 17:00;16;10
5;2;2;12;2;10/04/2025 17:00;16;12
6;2;3;2;3;18/04/2025 19:00;16;9
7;3;5;11;5;03/06/2025 15:00;2;1
8;3;9;5;5;10/06/2025 16:00;0;2
9;4;1;5;NULL;15/08/2025 18:00;0;0
10;4;4;9;4;16/08/2025 18:00;2;0
11;5;7;12;7;07/09/2025 17:00;16;8
12;5;3;7;3;16/09/2025 19:00;16;14
13;6;1;10;NULL;05/11/2025 20:00;0;0
14;6;5;8;NULL;06/11/2025 20:00;0;0
