team_id;name;country;founded_year;total_earnings;;;;;;;;
1;FaZe Clan;US;30/05/2010;25000000.00;;;;;;;;
2;G2 Esports;DE;24/02/2014;22000000.00;;;;;;;;
3;Team Liquid;NL;01/01/2000;48000000.00;;;;;;;;
4;Cloud9;US;01/01/2013;21000000.00;;;;;;;;
5;T1;KR;01/01/2004;25000000.00;;;;;;;;
6;Fnatic;GB;23/07/2004;20000000.00;;;;;;;;
7;Natus Vincere;UA;17/12/2009;20000000.00;;;;;;;;
8;OG;EU;31/10/2015; 38000000.00;;;;;;;;
9;Sentinels;US;01/01/2018;5000000.00;;;;;;;;
10;LOUD;BR;01/01/2019;4000000.00;;;;;;;;
11;Gen.G;KR;01/01/2017;12000000.00;;;;;;;;
12;Vitality;FR;01/08/2013;15000000.00;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
